    7 mpi2 | Initialized mpi2 on 2 rank(s)
    7 mpi2 | Started task manager at rank 1
    7 mpi2 | Starting task managers (distributed mode, polling delay: 500 microseconds)...
    8 evnt | host=rgvm rank=0 task=main nanotime=1325848663563838000: +main
   10 mpi2 | Started task manager at rank 0
   40 evnt | host=rgvm rank=1 task=10 nanotime=1325848663596080000: +waittask
   40 evnt | host=rgvm rank=1 task=11 nanotime=1325848663596463000: +waittask
   40 evnt | host=rgvm rank=0 task=15 nanotime=1325848663596530000: +waittask
   40 evnt | host=rgvm rank=0 task=15 nanotime=1325848663596605000: +wait1
   40 evnt | host=rgvm rank=1 task=10 nanotime=1325848663596506000: +wait1
   40 evnt | host=rgvm rank=1 task=11 nanotime=1325848663596522000: +wait1
   41 evnt | host=rgvm rank=0 task=14 nanotime=1325848663596828000: +waittask
   41 evnt | host=rgvm rank=0 task=14 nanotime=1325848663597054000: +wait1
   41 evnt | host=rgvm rank=1 task=12 nanotime=1325848663597089000: +waittask
   41 evnt | host=rgvm rank=1 task=12 nanotime=1325848663597355000: +wait1
   41 evnt | host=rgvm rank=0 task=16 nanotime=1325848663596700000: +waittask
   41 evnt | host=rgvm rank=0 task=16 nanotime=1325848663597580000: +wait1
   60 evnt | host=rgvm rank=0 task=15 nanotime=1325848663615952000: -wait1
   60 evnt | host=rgvm rank=0 task=15 nanotime=1325848663615981000: +wait2
  249 evnt | host=rgvm rank=1 task=10 nanotime=1325848663805387000: -wait1
  249 evnt | host=rgvm rank=1 task=10 nanotime=1325848663805485000: +wait2
  304 evnt | host=rgvm rank=1 task=12 nanotime=1325848663860319000: -wait1
  304 evnt | host=rgvm rank=1 task=12 nanotime=1325848663860385000: +wait2
  317 evnt | host=rgvm rank=0 task=16 nanotime=1325848663872808000: -wait1
  317 evnt | host=rgvm rank=0 task=16 nanotime=1325848663872873000: +wait2
  574 evnt | host=rgvm rank=0 task=14 nanotime=1325848664130329000: -wait1
  574 evnt | host=rgvm rank=0 task=14 nanotime=1325848664130423000: +wait2
  677 evnt | host=rgvm rank=1 task=12 nanotime=1325848664232799000: -wait2
  677 evnt | host=rgvm rank=1 task=12 nanotime=1325848664232848000: +barrier
  714 evnt | host=rgvm rank=0 task=15 nanotime=1325848664270295000: -wait2
  714 evnt | host=rgvm rank=0 task=15 nanotime=1325848664270366000: +barrier
  849 evnt | host=rgvm rank=1 task=11 nanotime=1325848664405350000: -wait1
  849 evnt | host=rgvm rank=1 task=11 nanotime=1325848664405409000: +wait2
  955 evnt | host=rgvm rank=0 task=16 nanotime=1325848664510979000: -wait2
  955 evnt | host=rgvm rank=0 task=16 nanotime=1325848664511033000: +barrier
 1109 evnt | host=rgvm rank=1 task=11 nanotime=1325848664665336000: -wait2
 1109 evnt | host=rgvm rank=1 task=11 nanotime=1325848664665392000: +barrier
 1133 evnt | host=rgvm rank=1 task=10 nanotime=1325848664688620000: -wait2
 1133 evnt | host=rgvm rank=1 task=10 nanotime=1325848664688664000: +barrier
 1320 evnt | host=rgvm rank=0 task=14 nanotime=1325848664876541000: -wait2
 1320 evnt | host=rgvm rank=0 task=14 nanotime=1325848664876589000: +barrier
 1321 evnt | host=rgvm rank=0 task=14 nanotime=1325848664876673000: -barrier
 1321 evnt | host=rgvm rank=0 task=14 nanotime=1325848664876690000: +wait3
 1321 evnt | host=rgvm rank=1 task=11 nanotime=1325848664876742000: -barrier
 1321 evnt | host=rgvm rank=1 task=12 nanotime=1325848664876738000: -barrier
 1321 evnt | host=rgvm rank=1 task=12 nanotime=1325848664876945000: +wait3
 1321 evnt | host=rgvm rank=0 task=16 nanotime=1325848664877237000: -barrier
 1321 evnt | host=rgvm rank=0 task=16 nanotime=1325848664877273000: +wait3
 1321 evnt | host=rgvm rank=0 task=15 nanotime=1325848664877302000: -barrier
 1321 evnt | host=rgvm rank=0 task=15 nanotime=1325848664877344000: +wait3
 1321 evnt | host=rgvm rank=1 task=10 nanotime=1325848664876884000: -barrier
 1323 evnt | host=rgvm rank=1 task=10 nanotime=1325848664878812000: +wait3
 1321 evnt | host=rgvm rank=1 task=11 nanotime=1325848664876868000: +wait3
 1590 evnt | host=rgvm rank=0 task=16 nanotime=1325848665146570000: -wait3
 1590 evnt | host=rgvm rank=0 task=16 nanotime=1325848665146630000: -waittask
 1879 evnt | host=rgvm rank=0 task=15 nanotime=1325848665435315000: -wait3
 1879 evnt | host=rgvm rank=0 task=15 nanotime=1325848665435381000: -waittask
